display_id,components,requests,contracts,relationships
470,[],"[{""id"": 20000026412, ""created_at"": ""2022-08-05T19:44:33Z"", ""updated_at"": ""2022-08-05T19:44:33Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1231"", ""request_details"": ""Request for Evan Beard : Ipad/Tablet"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
471,[],"[{""id"": 20000026413, ""created_at"": ""2022-08-05T19:44:33Z"", ""updated_at"": ""2022-08-05T19:44:33Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1231"", ""request_details"": ""Request for Evan Beard : Ipad/Tablet"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
473,[],"[{""id"": 20000026414, ""created_at"": ""2022-08-05T19:44:33Z"", ""updated_at"": ""2022-08-05T19:44:33Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1231"", ""request_details"": ""Request for Evan Beard : Ipad/Tablet"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
474,[],[],[],[]
475,[],[],[],[]
476,[],[],[],[]
478,[],[],[],[]
479,[],[],[],[]
480,[],[],[],[]
481,[],[],[],[]
482,[],[],[],[]
488,[],"[{""id"": 20000036947, ""created_at"": ""2022-09-06T16:21:25Z"", ""updated_at"": ""2022-09-06T16:21:25Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1429"", ""request_details"": ""Request for Mica Retz : Dell Wireless Keyboard and Mouse Combo"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
489,[],[],[],[]
490,[],[],[],[]
491,[],[],[],[]
492,[],[],[],[]
493,[],[],[],[]
494,[],[],[],[]
495,[],[],[],[]
496,[],[],[],[]
497,[],[],[],[]
498,[],[],[],[]
499,[],[],[],[]
500,[],[],[],[]
501,[],[],[],[]
502,[],[],[],[]
503,[],[],[],[]
504,[],[],[],[]
505,[],[],[],[]
506,[],[],[],[]
507,[],[],[],[]
508,[],[],[],[]
511,[],[],[],[]
512,[],"[{""id"": 20000044726, ""created_at"": ""2022-09-28T19:02:21Z"", ""updated_at"": ""2022-09-28T19:02:21Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1488"", ""request_details"": ""Airpods request"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
514,[],[],[],[]
515,[],[],[],[]
516,[],[],[],[]
517,[],[],[],[]
518,[],[],[],[]
519,[],[],[],[]
520,[],[],[],[]
521,[],[],[],[]
522,[],[],[],[]
523,[],[],[],[]
524,[],[],[],[]
525,[],[],[],[]
526,[],[],[],[]
527,[],[],[],[]
528,"[{""id"": 20000887261, ""created_at"": ""2023-08-22T18:58:42Z"", ""updated_at"": ""2023-08-22T18:58:42Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""Apple M1 Pro"", ""manufacturer"": """", ""cpu_speed"": """", ""no_of_cores"": ""8""}]}, {""id"": 20000887262, ""created_at"": ""2023-08-22T18:58:42Z"", ""updated_at"": ""2023-10-02T08:28:05Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""Macintosh HD - Data"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 460.43, ""free_space"": 422.47, ""mount_point"": ""/System/Volumes/Data""}, {""drive_name"": ""Macintosh HD"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 460.43, ""free_space"": 422.47, ""mount_point"": ""/""}]}, {""id"": 20000887263, ""created_at"": ""2023-08-22T18:58:42Z"", ""updated_at"": ""2023-09-29T23:19:16Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": ""c8:89:f3:de:3d:e8"", ""ip_addr"": ""10.212.20.22"", ""mac_address"": ""c8:89:f3:de:3d:e8"", ""dhcp_enabled"": ""-""}]}]",[],[],[]
529,"[{""id"": 20000906206, ""created_at"": ""2023-09-14T20:04:35Z"", ""updated_at"": ""2024-05-06T13:31:39Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""Apple M1 Pro"", ""manufacturer"": """", ""cpu_speed"": """", ""no_of_cores"": ""8""}]}, {""id"": 20000906207, ""created_at"": ""2023-09-14T20:04:35Z"", ""updated_at"": ""2024-07-01T13:04:11Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""Macintosh HD - Data"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 460.43, ""free_space"": 351.67, ""mount_point"": ""/System/Volumes/Data""}, {""drive_name"": ""Macintosh HD"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 460.43, ""free_space"": 351.67, ""mount_point"": ""/System/Volumes/Update/mnt1""}, {""drive_name"": ""Macintosh HD"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 460.43, ""free_space"": 351.67, ""mount_point"": ""/""}, {""drive_name"": ""Fig"", ""drive_type"": ""-"", ""file_type"": ""HFS+"", ""capacity"": 0.39, ""free_space"": 0.14, ""mount_point"": ""/Volumes/Fig""}, {""drive_name"": ""CodeWhisperer"", ""drive_type"": ""-"", ""file_type"": ""HFS+"", ""capacity"": 0.23, ""free_space"": 0.0, ""mount_point"": ""/Volumes/CodeWhisperer""}]}, {""id"": 20000906208, ""created_at"": ""2023-09-14T20:04:35Z"", ""updated_at"": ""2024-06-24T01:49:42Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": ""c8:89:f3:ea:ee:7a"", ""ip_addr"": ""10.212.20.139"", ""mac_address"": ""c8:89:f3:ea:ee:7a"", ""dhcp_enabled"": ""-""}]}]",[],[],[]
530,[],"[{""id"": 20000059091, ""created_at"": ""2022-11-08T23:01:34Z"", ""updated_at"": ""2022-11-08T23:01:34Z"", ""request_type"": ""Ticket"", ""request_id"": ""SR-1759"", ""request_details"": ""More Powerful Laptop?"", ""request_status"": ""Resolved"", ""workspace_id"": 2}]",[],[]
531,[],[],[],[]
532,[],[],[],[]
534,[],[],[],[]
535,[],[],[],[]
536,[],[],[],[]
537,[],[],[],[]
538,[],[],[],[]
539,[],[],[],[]
540,[],[],[],[]
541,[],[],[],[]
542,[],[],[],[]
543,[],[],[],[]
544,[],[],[],[]
545,[],[],[],[]
546,[],[],[],[]
547,[],[],[],[]
548,[],[],[],[]
549,[],[],[],[]
550,[],[],[],[]
551,"[{""id"": 20000906261, ""created_at"": ""2023-09-14T21:02:30Z"", ""updated_at"": ""2024-05-03T15:11:41Z"", ""component_type"": ""Processor"", ""component_data"": [{""model"": ""Apple M1 Pro"", ""manufacturer"": """", ""cpu_speed"": """", ""no_of_cores"": ""10""}]}, {""id"": 20000906262, ""created_at"": ""2023-09-14T21:02:30Z"", ""updated_at"": ""2024-09-20T19:24:49Z"", ""component_type"": ""Logical Drive"", ""component_data"": [{""drive_name"": ""Macintosh HD"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 926.35, ""free_space"": 870.98, ""mount_point"": ""/System/Volumes/Update/mnt1""}, {""drive_name"": ""Macintosh HD - Data"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 926.35, ""free_space"": 870.98, ""mount_point"": ""/System/Volumes/Data""}, {""drive_name"": ""Macintosh HD"", ""drive_type"": ""Local"", ""file_type"": ""APFS"", ""capacity"": 926.35, ""free_space"": 870.98, ""mount_point"": ""/""}, {""drive_name"": ""Figma Agent Installer"", ""drive_type"": ""-"", ""file_type"": ""HFS+"", ""capacity"": 0.01, ""free_space"": 0.0, ""mount_point"": ""/Volumes/Figma Agent Installer""}]}, {""id"": 20000906263, ""created_at"": ""2023-09-14T21:02:30Z"", ""updated_at"": ""2024-09-19T15:18:10Z"", ""component_type"": ""Network Adapter"", ""component_data"": [{""nic"": ""bc:d0:74:a8:33:cc"", ""ip_addr"": ""10.212.20.75"", ""mac_address"": ""bc:d0:74:a8:33:cc"", ""dhcp_enabled"": ""-""}, {""nic"": ""de:db:f8:8c:a6:4d"", ""ip_addr"": ""fe80::dcdb:f8ff:fe8c:a64d%awdl0"", ""mac_address"": ""de:db:f8:8c:a6:4d"", ""dhcp_enabled"": ""-""}]}]",[],[],[]
552,[],[],[],[]
554,[],[],[],[]
555,[],[],[],[]
556,[],[],[],[]
557,[],[],[],[]
558,[],[],[],[]
559,[],[],[],[]
560,[],[],[],[]
561,[],[],[],[]
