id,name,parent_asset_type_id,visible,description,created_at,updated_at
20001158553,VMware VCenter Datastore,20001158549.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001166287,Image,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166295,AWS Image,20001166287.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166296,Azure Image,20001166287.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001184460,VMware VCenter Image,20001166287.0,True,,2022-11-30T13:08:30Z,2022-11-30T13:08:30Z
20001203088,GCP Image,20001166287.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001166288,Load Balancer,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166297,AWS LB,20001166288.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166298,Azure LB,20001166288.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203094,GCP LB,20001166288.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001166289,Security Group,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166299,AWS Security Group,20001166289.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166300,Azure Security Group,20001166289.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203089,GCP Security Group,20001166289.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001158550,Network,20000254040.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001158554,VMware VCenter Network,20001158550.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001158551,Resource Pool,20000254040.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001158555,VMware VCenter Resource Pool,20001158551.0,True,,2022-07-29T09:54:09Z,2022-07-29T09:54:09Z
20001166290,Network Interface,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166301,AWS Network Interface,20001166290.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166302,Azure Network Interface,20001166290.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203093,GCP Network Interface,20001166290.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001166291,Public IP Address,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166303,AWS Public IP Address,20001166291.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166304,Azure Public IP Address,20001166291.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203092,GCP Public IP Address,20001166291.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001166293,VPC,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166306,AWS VPC,20001166293.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166307,Azure VPC,20001166293.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203090,GCP VPC,20001166293.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001166294,Subnet,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166308,AWS Subnet,20001166294.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166309,Azure Subnet,20001166294.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203091,GCP Subnet,20001166294.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001166292,Database,20000254040.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001166305,AWS RDS,20001166292.0,True,,2022-07-30T17:31:35Z,2022-07-30T17:31:35Z
20001203095,GCP BigQuery Table,20001166292.0,True,,2023-10-28T08:48:28Z,2023-10-28T08:48:28Z
20001188078,Key Pair,20000254040.0,True,,2023-01-30T12:14:10Z,2023-01-30T12:14:10Z
20001188080,AWS Key Pair,20001188078.0,True,,2023-01-30T12:14:10Z,2023-01-30T12:14:10Z
20001188079,Object Storage,20000254040.0,True,,2023-01-30T12:14:10Z,2023-01-30T12:14:10Z
20001188081,AWS S3 Bucket,20001188079.0,True,,2023-01-30T12:14:10Z,2023-01-30T12:14:10Z
20001194949,Key Vault,20000254040.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194953,Azure Key Vault,20001194949.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194950,Subscription,20000254040.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194954,Azure Subscription,20001194950.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194951,Resource Group,20000254040.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194955,Azure Resource Group,20001194951.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194952,Application Gateway,20000254040.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001194956,Azure Application Gateway,20001194952.0,True,,2023-03-31T10:15:07Z,2023-03-31T10:15:07Z
20001214988,K8s Deployment,20000254040.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
20001214999,AWS K8s Deployment,20001214988.0,True,,2024-04-25T09:03:47Z,2024-04-25T09:03:47Z
